Reviewer,Rating (1-5),Ulasan
Nur Wisnu Sidharta,5,"Hotel bintang 5 yang terbilang cukup tua di kota surabaya, namun dengan harga yang relatif lebih murah dibanding hotel bintang 5 lainnya. Meskipun terbilang tua hotel ini sepertinya terawat dengan baik dengan nuansa tradionalnya. Terletak di pusat kota dan dekat dengan pusat perbelanjaan. Kamar luas dan nyaman. Begitu datang staf hotel menyambut dan menyapa dengan ramah dan hangat. Yang unik disini adalah tempat sarapan outdoor nya yang dikelilingi dengan pohon2 rindang, taman dan kolam ikannya, sehingga suasana sarapan disini jadi kenangan tersendiri yang tidak mudah dilupakan. Hotel juga dilengkapi dengan kolam mandi air panas. Secara keseluruhan menginap disini sangat menyenangkan."
Rosalinda Sormin,5,"Viewnya bagus, ruangan luas dan bersih jadi bikin nyaman kalo bawa anak-anak. Makanannya juga enak dan sangat bervariasi. Next bakal datang lagi kesini kalo ke sby. 😊🙏"
Sony Oktavianus,5,"Kamarnya luas, AC baik, kebersihan terjaga. Suasana tenang dan asri, serasa bukan di Surabaya, padahal di tengah kota. Lokasi strategis dekat Tunjungan Plaza. Gym cukup lengkap, disediakan handuk dan refill air minum juga. Kolam renang besar, handuk disediakan. Amenities komplit, bathub, hair dryer, dll. Breakfast banyak variasi, rasa 8/10. Extra bed 500rb include handuk, sikat gigi, slippers, dan breakfast 1 pak. Best value disini buat yang suka ketenangan, kebersihan dan kenyamanan."
Alauddin Adiwijaya,5,Dapat kamar lantai 21. City view ke tengah kota Surabaya. Cakep banget. Kamar luas dan bersih. Crew hotel juga ramah dan gercep. TV g bisa dicari channel-nya telp admin langsung datang crew nya.
Nyta Narda Wijaya,5,"Hotel yang sangat super luas , Mewah ,dan Aesthetic,Serta  bernuansa kejawen , Tempat nya sangat nyaman tenang , Dan banyak juga fasilitas yang super lengkap Semua ada di hotel ini 👍🏻"
Zen Zen Hau,5,Sop buntutnya ok banget luv it.
Rania Asfa,5,Sekelas hotel dengan usianya tapi saya akui masih cocok dijadikan bintang 5 karna maintenancenya sangat cukup baik.. bersih.. dan perawatannya sangat bagus.. kamar sdh ada bathupnya dan staff sangat ramah semua baik.. cleaningservise sangat ramah membersihkan dengan baik.. dlunya hotel hyatt ternyata tp hanya beda management tp masih sangat oke all👌🏻
ody od,5,"Secara pribadi, masih menjadi pilihan jika ingin staycation di Surabaya, Fasilitas kamar oke, ukuran besar, kamar mandi punya fasilitas bathtub. Untuk sarapan terbaik, pilihan beragam dengan kualitas yang terjaga"
aditya rahman,5,"Knjungan pada acara Ginsi Award Th 2023 bulan Nov'23.  Tmpt Acarax nyaman, enk, bagus. Untuk makanan dan minuman nya y standart spt hotel2 pada umum nya.  Para staf nya ramah, tp untuk Toilet sedikit kebuka dan krg control, ada karywan yg stand by di pintu masuk toilet tp g ngecek kondisi di dlm nya.  Untuk desain dan bangunan hotel nya terkesan bangunan kuno tapi arsitek nya bagus.  Yg jd point plus hotel nya menyediakan masjid, jarang2 ada hotel trus punya masjid sndiri. Recomend"
amalia artati,5,Rombongan sama org kantor buka bersama. Dapat harga 217.000/pax minimal 20 org. jenis makanannya bervariasi. Rasa bukan yg terbaik. Biasa saja. Open table dr jam 17-21.
Emaknya K,5,"Baik baiknya pasti sudah ditulis di review lain. Iya, hotel ini memang hotel tua yang menurutku masih terawat dengan baik. -Semua staff ramah - view kamar dari lantai 12 cantik banget. Bisa berendam sambil lihat kota pokok nya. - Kamar super luas dan dipisah antara kamar utama, area baju, kamar mandi. - Taman juga seru buat foto2. Kolam renang ada 3 macam. Dewasa, anak dan air hangat. - Ada gym, spa dan tenis  Nah! Sekarang yg bikin sedihnya. Kenapa menu sarapanya dikit dan rasanya kurang. Aaa sayang banget. Rasa kalau gak asin ya hambar. Yang paling nangis adalah sushi dan buah (semangka, melon, 1 lagi lupa) yg udah diwadahin masing2 3 biji. Sushinya juga dimasukin pendingin kecilllll banget. Sorry, tapi dibandingkan hotel bintang 3, sarapannya kurang banget. Tapi its okayy  Aku bakal kembali!!"
David Sahfrudin,5,Hotel yang berada di pusat Jantung Kota surabaya
Whini Ika Visiarani,5,"Hotel terbaik dengan harga terbaik.  Roomnya sekelas Hyatt ya. Walau termasuk bangunan lama tapi dengan rate mereka iji best deal banget. Large bed, large room, ada bathup juga. Variasi breakfastnya juga lumayan. Lokasi juga tengah kota, rindang penuh pohon-pohon pula. Pool ada 3 macam, dewasa, anak-anak, dan air hangat  Mantab!!"
Dhita Lengkey,3,"Saat awal masuk sdh disambut dengan baik. Masuk kamar jg nyaman, Luas, kendala nya di kamar mandi. Kamar mandinya kotor, saat di flush baru bersih (di flush sebelum digunakan). Karpet nya jg ga bersih, pas masuk mau selonjoran di karpet malah ngeliat noda kuning. Jadi ga mood. Terus karena check in pagi, malah kena tambahan dana. Mungkin saya kurang tau itu normal atau engga, cuman emg rada kaget aja. Kulkas nya juga bau banget, kayak ga pernah di bersih in. Tapi Overall udh mayan. FYI, kamar yg saya tempati Nomor 2062."
Reni Andina,5,"Walaupun hotel ini tergolong tua di kota Surabaya, tetapi pelayanan dan keseluruhan pengalaman menginap di hotel ini nyaman. Hotel Bumi memiliki kamar yang luas dan masih bersih Lokasi hotel sangat strategis. Staf hotel ramah dalam membantu tamu. Sarapan pagi juga memiliki banyak variasi."
eri pujianto,5,"Salah satu hotel yg nyaman dan homy dipusat kota Surabaya, dengan pelayanannya yg baik, bersih serta menu makanannya yg enak"
Rama D.K.,5,"Beberapa poin menurut saya yang penting: Lokasi: strategi sekali di tengah-tengah Basuki Rahmat. Ke TP bisa tetapi lumayan jauh kalau jalan kaki.  Bangunan: agak tua karena dibangun dari tahun 1990an (yang gedung bantet itu sudah tidak terpakai malah dibangun 70-an, coba ke lantai tiga pakai lift gedung samping dan rasakan keseruannya)  Tetapi walau begitu aura mewahnya masih berasa, lift ada empat untuk menjangkau gedung yang hampir 30 lantai itu.  Tempat Parkir: sangat luas jadi tidak khawatir kalau dari luar kota bawa kendaraan sendiri  Servis : super ramah, tetapi deposit kamarnya besar kalau tidak salah 250ribu waktu itu.  Kamar: luas hanya memang agak tua dan suasananya remang, ada shower dan bathtub terpisah. Amenities lumayan lengkap walau tidak ada brand. Kamar connecting tersedia selama kita minta dari jauh hari. Saran saya toiletnya mesti diganti karena sudah sepuh, bisa mampet lama-lama.  Fasilitas: lengkap. Standar bintang lima. Makan paginya sangat lengkap dengan nuansa resor. Tidak ada bandingannya, salah satu yang terlengkap di Indonesia bahkan."
bagus sulaksono,3,Tidak semua tempat bisa ditempati ... kursi atau gazebo  di luar hanya tuk yg pesan makanan/minuman .. bukan tuk rilex menikmati keindahan atau suasana
Finarya Family,5,"Pelayanan dan fasilitas yang luar biasa untuk harga yang ditawarkan. Sayang termostat AC dikunci tidak bisa diatur suhunya. Sarapan banyak sekali pilihannya, semua enak. Nasi goreng nya juara, nasgor paling enak diantara semua hotel bintang 3,4,5 yang pernah saya kunjungi."
Kurnia Sari,4,"Nice place. Clean room. Lokasinya strategis. Kolam renangnya memadai & bersih. Sayangnya tempat bilasan wanita sepertinya saluran airnya bermasalah, jadi air agak menggenang. Sarapannya cukup variatif, mgkn perlu ditambah pilihan sayurannya, juga minuman lain selain jus, mgkn bisa ditambah minuman rempah tradisional juga. Konsep alamnya juga oke. Oya, hotel ini masih menerapkan deposit. Overall, it's one of the best hotel I've ever stayed.👍"
Rini Febriyani,5,"Hospitality yang sangat baik, (dari mulai front office sampai dengan penjaga kolam semua sangat ramah, terimakasih 🙏🙏). Fasilitas sangat baik, makanan lezat dan penyajiannya pun bersih. Kids Friendly 😁. Semoga dapat menginap kembali di dalam waktu dekat 😃."
Seilla R. Pribadi,5,"MaasyaaAllah, walau dari luar gedung terlihat tua. Tapi bagian dalamnya masih sangat terawat, nampak luxury dan 5 star hotel quality. Semua karyawan nya menyambut dan menyapa dengan sepenuh hati, ga kelihatan capek. Hawa dari hotel juga sangat bagus, ga ada terkesan hotel tua sama sekali di dalam. Insyaallah bakal jadi tempat stay kalo balik lagi ke Surabaya. Harga nya luar biasa affordable dengan kualitas dan Service yang didapat. Semoga Allah berkahi untuk manajamen dan seluruh pegawai hotel yang baik hati. Aamiin allahumma aamiin"
Aulia Agile Fadlila,5,Seru! Gaperlu kemana2 cukup di kamar aja 😆
Lisa Ariani,5,Paling epic sih ada setrika uap dan meja setrika nya sih. Baru nemu disini selama pernah nginap di hotel
Dimas Anggoro,5,"Hotel bintang lima, tapi harganya relatif lebih murah dibanding hotel bintang lima lainnya. Letak di tengah kota Surabaya, dengan jarak yang dekat dengan pusat perbelanjaan. Kamar luas dan nyaman, dengan bangunan yang terawat. Staff sangat ramah dan sigap untuk membantu. Tempat parkir mobil luas dan cukup banyak, dan terhindar dari terik cuaca. Makanan banyak variasi, mulai dari western, asia, hingga nusantara. Saya memiliki pengalaman mengesankan di hotel ini, dan pasti akan menginap di sini lagi."
Dina Prihanto,2,"Kamar kotor🤮 Kolam renang kotor banget🤮🤮🤮 Saya menginap tgl 30-31 des 2023 kamar 1653 & 1654. Check in telat sejam karena kamar blm siap. Sehrusnya jam 2, saya dateng jam 2.30 masih disuruh nunggu 30 menit. Jam 2 - jam 2.30 ngapain aja bos? Mau cekout diancem2 kalo telat ada charge, padahal saya check in telat tdk ada kompensasi sama sekali hanya “mohon maaf” dari KARIN petugas resepsionis🤮 OVERRATED HOTEL.👎"
GC Welly,5,"Kmarin ac sempat mati,tapi sudah dibenerin sepertinya Kamar bagus sesuai untuk harga Ada kolam renang dan fitness dan sauna Makanan enak dan banyak"
Lisdia65 Diah,5,"Worth it  lah, ditengah kota dan nyaman suasananya. Kamarnya luas, bersih."
Rifqi Trans,5,Hotel yang nyaman dan tenang... Hotel di pusat kota dan dekat dengan mall tunjungan plaza... Recommended pokoknya...
tulus A W,1,"Salah satu hotel terbaik yang bisa anda temui di tengah kota Surabaya. Kamarnya bagus, terawat, dan stafnya ramah."
imam sidik,5,"Kamar bagus bersih, sarapan banyak varian dan enak2, kolam renang ada jacuzzi nya, vibes berasa di bali , ada pak nyoman juga yang ngajak ngobrol, kalau ada rejeki lebih pasti kesini lagi.."
david andhika,1,Pelayanan parkir nya tidak ramah. Mau jemput saja harus disuruh pindah padahal sepi.
dita wahyuningtyas,5,Pelayanan yang sangat baik dan sopan selama kami tinggal di hotel Bumi Surabaya. Shout out to pak Nyoman yang selalu menyapa kami dengan ramah saat sarapan pagi.  Suasana hijau di tengah kota Surabaya
Rully Kartika,4,"Hotelnya bagus, temanya traditional modern. Pelayan dan Staffnya sangat ramah  Saya menginap 2 malam, sayangnya malam pertama saya dapet kamar pojok sendiri. Check In jam 8 malam , masuk kamar auranya uda ga enak :( semalaman deh gabisa tidur, masa iya mati listrik semalam 3x  Besoknya minta pindah Room dilayani dengan baik"
Menhariq Noor (eyiq),5,"Baru pertama kali ke sini, tempatnya dekat dari mana2, makanannya enak2. Sayang tidak sempat mencoba makan siang menu jepang karena harus pulang lebih awal. Hanya sedikit agak repot memasukkan nomor kamar dengan nama depan untuk koneksi, tapi sisanya oke. Ga terlalu kencang tapi masih reliable untuk meeting online. Sayang di kamar saya ada sedikit masalah di pengaman pintu yang membuatnya sulit dibuka"
Enggar Puspitasari,5,"Hotelnya bagus, nyaman banget, makanannya enak2 bangeeet. Untuk deposit pas check in 500k ya, nanti akan dikembalikan saat check out. Di jam tertentu ada juga diskon cake di lantai bawah waktu saya nginep disini. Cuma utk parkiran motor saya rasa jauh sekali jalannya untuk sampai ke lobby, untuk parkiran mobil deket. Kalau mau parkir gratis bisa nunjukkin nopol kendaraan saat check in yaa."
halimatus sa'diyyah,5,"Mantap bener2 bintang 5..kalau malam ada pasar makanannya..breakfastnya juga mantap gk ada yang gagal soal rasa..kamarnya luas, pokoknya mewah deh"
Yin,3,"kali ketiga stay disini dan super kecewa sm pelayanannya , disaat hotel lain uda ga narik deposit eh disini masih narik, mau renang tulisannya ditutup renovasi,turun kebawah tanya katanya buka,terpaksa naik lagi, super ribet, staf kurang info juga, kok jadi gini ya pdhl dulu masuk salah 1 fav hotel loh, gini jadi males mau stay lagi 😢"
Karina Ariyono,5,"Hotel yang tenang, berada di tengah kota bahkan hanya butuh beberapa menit jalan kaki menuju TP. Staffnya ramah."
Nik Soen,5,"Dahulu bernama Bumi Hyatt. Tempat memang strategis, pas di pusat kota Surabaya. Parkir yang bisa menampung banyak mobil, area hijau terbuka yg luas, kolam renang ada 2 area, tennis 2 lapangan, condo privat. Beberapa bagian terutama area taman terlihat kurang perawatan. Hotel sudah cukup berumur. Sejak tahun 90an usia anak sudah diajak bermalam di sini bersama keluarga. Breakfast banyak macam, tetapi rasa masih B saja untuk kelas bintang 5. Sepertinya lebih enak breakfast sebelum pandemi. Karyawan, pramusaji dan staff tergolong berumur. Semangat Bumi Surabaya... 👌👌👍🤗😉"
Ibrhm Tntw,5,"Ada topai nya ditaman, sangat menyenangkan"
I Gusti Agung Premananda,5,"Mencoba hotel ini karena merupakan salah satu hotel bintang 5 yg terkenal di Surabaya dengan lokasi yg strategis. Suasana hotel ini menyenangkan dimana terasa nuansa tradisionalnya dari bangunan, hiasan-hiasannya serta pakaian yg digunakan oleh pegawai hotel. Suana ini yg mungkin menyebabkan banyak bule yg menginap disini. Kekurangan hotel ini ada pada kamarnya yg terasa tua dan tidak terlalu istimewa untuk sekelas hotel bintang 5. Namun dengan harga yg saya dapatkan di 750k, kekurangan ini menjadi tidak terlalu bermasalah. Sarapan disini sangat menyenangkan, Makanannya enak dan di dominasi makanan tradisional. Secara keseluruhan dengan harga 750k pengalaman menginap di hotel ini sangat menyenangkan."
arya Sinyo,5,Nyaman tempatnya dan lokasi strategis
Endah Yudiantini,5,"Tempatnya luas, nyaman dan masakannya lengkap, enak pula. Cocok sekali tuk berbuka puasa bersama dgn teman dan saudara..... Ayo nunggu apa lagi........"
Adi Kurniawan,5,"Saya belum pernah menginap di sini, tapi pernah beberapa kali menghadiri acara di ballroom dan ruang meeting di lt 2 baik sebagai peserta maupun sebagai panitia.  Hotelnya sangat besar. Ada beberapa ruang meeting yang disewakan dan ukurannya besar. Makanan yang disediakan rasanya enak.  Musholla di lantai 2 juga cukup lapang dan bisa menampung banyak orang. Beda dengan beberapa hotel lain yang ruang meetingnya besar tapi mushollanya sangat kecil"
Vinka Maharani,4,"Berkunjung saat liburan sekolah, saya tidak tahu apakah ini berpengaruh terhadap waktu tunggu yang lama hingga kamar siap. Padahal saya sudah telpon sebelumnya apakah bisa check in pukul 2 siang. Datang 14.30, diminta menunggu untuk 'vacuum' ruangan, baru bisa check-in 15.00.  Untuk lokasi, strategis sekali. Breakfast banyak pilihan menu. Yang jadi favorit saya personal karena rasanya melebihi ekspektasi adalah bread pudding & cappuccino. Harga tambahan untuk anak di bawah 12 tahun di waktu breakfast adalah 120ribu."
Sitti Alvina,5,"Dulu kesini menginap disaat pandemi. Lumayan ok. Pernah juga buka puasa disini. Makanan saat dinner dan sarapan biasa saja. Mungkin karena makanan indonesia semua jadi nothing special ya sudah biasa ketemu sehari-hari. Untuk kamar lumayan ok, sudah dapat bath tub."
This Cat,5,"Pelayanan sangat ramah, vibes hotel kuno dan aestetik, kamar juga termasuk bersih, amenities lengkap. Parkir mudah bisa vallet. Makanannya juga enak enak banget"
diastri dewi,5,"Menyenangkan sekali menginap di sini. Bangunan bagian dalam terkesan megah. Tamannya memberi kesan adhem, serasa ngga lagi di kota. Untuk kamar luas, kamar mandi ada bathupnya. Breakfastnya bervariasi. Ada bubur, soto, pecel, omellete, es krim, waffle, pizza. Chawan mushinya enak.."
Mikael Adlan Husni,5,Hotel dengan gaya klasik dan pelayanan yang mantap
slamet budi,5,"tempatnya betul² mempesona, di puncak gunung penuh kabut, makanan murah tp ada tiket masuk 15k/org + 5K (R4) ato 3K (R2), rasa masakan/minuman perlu dievaluasi, smoga tambah maju.."
Sumarhadi Mang,5,Lokasinya di tengah kota biarpun termasuk hotel yg sdh exis duluan dri pada hotel2 yg lain tpi ada kelebihanya ..klu sore di lantai bawah banyak sekali ragam makanan dan minuman yg  sdh siap untuk di nikmati. Tempatnya sejuk..Halaman parkir luas..untuk roda 2/4.. Rate room nya kompetitif kamarnya cukup bagus...Recomended...
Defi R.A,5,"Kamarnya luas, dpt view yg city, kalo malem lumayan dapet city light. Terus perlengkapan mandi lengkap. Room servicenya ok. Sarapannya juga ok. Thank you"
Aldo Adela Personal,5,"Harga terjangkau untuk 5 star di tengah kota surabaya, kesan resort nya kerasa banget, banyak ijo2, cocok untuk family vacation"
"Ruri Milandu, SH",4,"Saat pertama datang, staff hotel menyambut ramah dengan busana adat Jawa. Ini surprise banget. 👍 Sebagian kunci kamar, ada yang masih model lama (manual tidak otomatis menyalakan lampu). Swimming poolnya bagus, bergaya olympiade di lantai 3. Ada taman bagaikan hutan di PulauBali, ada lapangan tenis. Ada pool di tempat bekas bangunan lama yang sayang banget jika pool itu ditutup (tidak dimanfaatkan). Awas! Jika dibiarkan terbengkalai, bangunan lama berpotensi jadi ""angker"" atau terkesan ""creepy"""
Hanum A.,4,"Yang kurang: 1. Untuk kamar, terdapat fasilitas yang disediakan ke pengunjung salah satunya setrika dan bahan minuman teh. Sebaiknya selalu pastikan pelengkapnya tersedia tanpa kurang seperti gula dan krimer karena pas saya datang, gak ada gula tapi di kamar yg lain tersedia. Begitu juga dg setrika. 2. Untuk di bagian kamar mandi kolam renang, tempat untuk bilas badan rasanya lebih baik ditambah kuantitasnya karena kurang jika hanya satu kamar mandi yang bisa digunakan untuk bilas badan, selebihnya hanya wc"
Shubkhi Basyar,5,"Anak2 suka menginap disini, tempatnya nyaman dan asri. Serasa sedang di bali.  Selain itu pelayanannya baik, waktu sarapan sempat bincang2 dengan salah satu staff hotel bernama Pak wayan, orang yang super ramah, Next time pasti akan menginap disini lagi"
babas riyan,1,"Kamar OK , makanan OK , Lokasi OK Sy menginap semalam di kamar 1837 , dri awal dtg cekin jam 9 malem aura kamarnya udh ngg enak Bener aja pas paginya selesai mandi , lagi BAB ,ada suara perempuan nangis kenceng bgt dan lama😭 selama nginep2 dhotel lain. Ini paling horor"
agung wijaya,5,"Lokasi strategis, menu resto enak"
Chloe Gab,5,"Lokasi strategis di pusat kota Surabaya. Hotel cukup luas, tidak sulit mencari parkiran. Proses check in agak lama dan harus menyertakan deposit. Kamar sangat luas, room amenities standar, tv agak kecil dibanding ukuran kamarnya, hair dryer di kamar saya cukup tua, saat dicoba mengeluarkan bara api, setelah komplain ke room service, langsung di ganti dengan yang baru👍 Menu breakfast sangat beragam, ada ruang indoor dan outdoor."
rizha fahlevy,5,"Bukan hotel baru, namun masih terjaga dengan baik. Staff ramah dan profesional. Menu sarapan nya sangat lengkap"
Dani Ramadan,5,"Kamar sangat luas dan mewah, pegawainya ramah2, sarapannya enak, pilihannya banyak. Lokasi cukup strategis. Walaupun berada di tengah kota tapi suasananya tenang."
Aubrey Nafersya,5,Selalu happy staycation sama anak dan istri di hotel ini.
Ozcar Lutfie,5,"Resort di pusat kota. Dekat dengan Tunjungan Plaza, Balai kota, Siola, Stasiun."
Wanda Saraswati,5,"Hotel legend yg nyaman utk keluarga maupun bisnis. Staff ramah dan juga design interior yg classy dan terawat baik, hanya saja beberapa menurut saya memang perlu diganti dgn yg baru. Makanan enak dan banyak pilihan. Sayangnya saat kami hendak check in, kami perlu menunggu sekitar 40 menit utk mendapatkan kamar kami, yaa mungkin krn antrian check in sedang overload krn akhir pekan."
anita rumengan,5,"Saya suka suasana tempatnya, ada kolam renang dan ruang makannya sangat banyak pohonnya jdi adem."
Wibowo Handoko,4,Secara keseluruhan OK. Hanya untuk bad/kasur dan karpet kamar tidur sepertinya harus diperbaharui agar lebih fresh suasana ruangan
Ridha Fauziah,5,"Khas resort yang sudah berdiri lama, kamarnya luas namun colokan listrik minim/tidak di dekat tempat tidur. Pelayanan oke, staf ramah, sarapan bervariasi. Untuk hotel di tengah kota, cukup nyaman karena lingkungan hotelnya yang asri karena ruang terbuka hijaunya cukup luas"
Devi Natalia,4,"Hotel yang tetap ramai... Kamar luas... Masih ada bathtubnya.. Sarapan enak... Parkir luas Strategia,tengah kota.. Pianisnya baik..anakku diijinkan main piano... Suasana asri .banyak pohon.. Kolam renang luass!!"
Sofia Salsabila,5,"Staff di sana sangat membantu, sejak turun hingga check in semua lancar tanpa ada kendala. Ruangannya terkesan lama dan temaram, tetapi hal itu yang menjadikan hotel ini terlihat unik. Sayangnya, saat masuk ada kamar yang sedikit tercium kurang sedap, tetapi masih bisa ditolerir dengan menggunakan pewangi. Sejauh ini suka sarapannya karena dapat memilih tempat duduk outdoor dan indoor."
Boy Suherli Hasan,5,"Hotel bintang 5 dengan pelayanan yg sangat baik dan ramah... Lokasi tengah kota, akses dekat kmna2..."
Indira Susetyawati,4,"Banyak pepohonan di taman membuat serasa di resort. Menu breakfast beraneka rupa. Kamar sudah direnovasi, tapi karpet masih lama. Rekomen untuk liburan bersama keluarga"
Liong Yenni,5,"Dapat rate special utk tanggal 17 des 2021 barusan dan bs staycation sama keluarga di hotel bintang 5 satu ini. Lokasinya tengah kota, kamar super besar, ada bath tub, shower room terpisah, dan eco-washer closet (no jetspray) 😅 jadi harus siap2 kalo bawa orang tua kudu di briefing dulu atau bawa gayung kecil. 😁  Kamar nyaman, ada lemari, safety deposit box, setrika + meja setrika, wifi kenceng, kasur nyaman banget, pemandangan oke banget dari lantai 16..  Sarapan dr jam 6-9 aja, resto juga untuk dinner close jam 8 kalo tidak salah.  Lobi nyaman, dan banyak spot foto, proses check in dan check out cepat dan lancar.  Kolam renang juga luas dan bersih banget. Kids friendly 😊  Sarannya kalau bisa di tiap lantai disediakan tempat sampah di dekat lift karena kami kesulitan mencari tong sampah 🤭  Sukses dan jaya selalu Bumi Surabaya. Semoga pelayanannya makin baik lagi. 😊"
Linda Herlina,4,"Kamar bersih ,cuma kurang lampu dalam ruangan,dapat kamar lgs pemandangan pohon yg rimbun sempat merasa gak nyaman 😬 2 malam nginep disana bareng keluarga, menu sarapan bervariasi banyak pilihan, cuman secara rasa kurang nendang. Waktu check in minim deposit 300rb dan kmrn Krn bawa anak usia 10 th waktu breakfast ada biaya tambahan 120k"
new pes,4,"Kelebihan: Semua staffnya sangat ramah dan selalu menyapa setiap tamu lewat Prokesnya ketat dan baik Banyak taman sehingga terasa sejuk dan tenang Untuk kolam renang, ada 3 kolam. Kolam anak², kolam untuk berendam air hangat, dan kolam besar dengan kedalaman max 1,7m Dikamar disediakan sajadah, setrika pakaian, hair dryer, pemanas air  Kekurangan: Untuk ukuran TV, standar saja bukan yang besar seperti di hotel² lain Tidak ada isi kulkas seperti hotel lain. Hanya diberikan kopi, teh, gula, air mineral Kamar untuk 2 orang, namun sendal, sikat gigi hanya diberikan 1. Harus telp staff lagi untuk minta tambahan. Lampu dikamar rasanya kurang terang karena semua lampu kuning gak ada lampu putih yg besar gitu Untuk sarapan, kurang variatif. Itu² saja dan rasanya sangat biasa. Bahkan untuk beberapa cake, rasanya kurang pas.  Overall bagus kok untuk yang mau liburan atau perjalanan bisnis."
DaniM,5,Pintu masuknya agak jauh dari parkiran. Harus jalan jauh. Conference room nya banyak dan proper. Makanannya enak enak
Aditya Pratomo,5,"hotel ternyaman di surabaya suasananya nyaman dan yg ditunggu breakfast nya enak banyak pilihan kesini hari kamis dan cek out hari jumat, karena solat jumat ngajuin late cek out cuma dikasih sampai jam stgh1 siang, jd buru buru dan kartu akses udah gak bisa akses setelah lewat jam 12, jd harus ke receptionist dulu,. alangkah baiknya kebijakan di hari jumat bisa late cekout hingga jam 1,"
Mudrikah Darajati,5,"Hotelnya nyaman banget. Banyak pepohonan rindang, tamannya sejuk. Kamar rapi dan luas, bisa dipakai lari-larian ma bocil. Kamar mandi top dah, dapat bathtub. Kolam renang anak dan dewasa dipisah. Makanan makan malam dan sarapan top dah, banyak variannya mulai dari western sampai lokal Indonesia. Booking pas hotelnya sedang promo, jadi mantap banget dengan harga segitu dapat service layaknya 🌟 5."
Ilham Fatkhulhimam,5,"Kamar sangat luas, pelayanan best number one pastinya. Makanan enak dan banyak. Sangat worth it. Next ajak keluarga karena sebelumnya hanya BizTrip. Keep for you best hospitality dude. Mantap"
Ivan Tcs,5,Rekomendasi untuk acara tertentu seperti perkawinan.
dike sarwidiyani,4,"Hotel mewah di jamannya. Menginap di Bumi Surabaya City Resort terasa tenang dan menyenangkan. Kamarnya luas, dengan kamar mandi yang sangat luas.  Lokasinya sangat strategis di Jalan utama Kota Surabaya, tetapi beberapa fasilitas sudah saatnya untuk di extra maintenance. Seperti, vitrase gorden yang sdh robek di kamar 1753, selain itu fasilitas penggantinya tidak lagi yang premium, misalnya colokan listriknya cuma colokan plastik panjang dengan 4 colokan seperti di rumah, kunci pengait pintu juga biasa saja bukan premium, TV berukuran sekitar  32 inchi dan bukan smart TV. Menginap disini cocok bagi keluarga yang ingin bernostalgia dengan kenangan kesuksesan masa lalu."
yudi75 setiawan,5,Kurang perawatan eksteriornya....perlu disegarkan lagi cat2nya....ditata ulang ekteriornya serta pepohonan yg ada. Agar kesan mistis bisa dihilangkan. Semoga didengar...
widya rizky,5,"Restorannya makanannya enak2, variatif dan memuaskan. Vibesnya enak, cocok utk keluarga, kolega, atau utk acara resmi. Mantap 👍👍"
oreo oreoblush,5,"Excellent Hospitality Services!!!! Suasana interior di dalam Hotel ini sangat luar biasa berkonsep authentic traditional, terutama saat kita makan Di restaurant  &  minum kopi plus  gorengan di Delikopi....."" Pengalaman yang tak terlupakan....it's so Amazing Place.....Masih ada sisa - sisa khas peninggalan Hotel Hyatt yang masih kental sekali vibes nya. Kebetulan Kami mendapatkan kamar di The Club Floor....menurut saya sangat tenang untuk bekerja & beristirahat. Jika Kami ke Surabaya lagi, pasti Bumi Surabaya menjadi pilihan saya dan istri...."" Thank you so  much Bumi Surabaya...."""
BOT EMPORlO,5,"Bintang 5 nya bukan kaleng2.  Sarapan : menu utamanya tidak banyak pilihan, tapi camilannya banyak sekali. Soal rasa apapun menunya cocok semua di lidah.  Malam hari kalau anda malas ke jalan tunjungan atau keluar cari jajanan, hotel ada pasar malam dengan jajanan yg enak."
suka traveling,3,"Over all oke sih. Cuman saya lebih mengapresiasi pelayanan yang diberikan anak2 training sepertinya karena mereka tanpa pandang bulu ramah banget kesemua tamu. Tidak seperti senior2 yang mengutamakan special guest mereka dan terkesan cuek. Untuk rasa makanan disana biasa saja , mungkin bisa lebih ditingkatkan lagi kualitasnya. Untuk kamar gelap bgt lampunya minim dan colokan cuma 1 aja 😢"
Satrio wcs,3,"Kami menginap selama satu hari. Pelayanan hotel sangat baik. Kebersihan kamar hotel juga terjaga. Dari segi rasa makanan, tidak perlu diragukan lagi bahwa hotel Bumi merupakan salah satu hotel dengan makanan terbaik di Surabaya.  Yang menjadi masalah ketika saya menginap di hotel ini adalah AC kamar tidak dingin. Saya check in di sore hari sehingga dari sore ke malam cenderung tidak ada masalah pada suhu ruangan. Masalah muncul ketika pagi hari hingga menjelang check out. Suhu ruangan mulai panas. Anehnya, AC yang semula tersetting pada suhu 18 derajat tiba tiba tersetting pada suhu 25. Dan ketika saya ingin mengembalikan ke suhu 18 derajat, secara otomatis kembali lagi pada suhu 25. Dari pagi ke siang di kamar hotel ini merupakan pengalaman yang kurang nyaman. Sangat panas. Karena tidak nyaman, saya memutuskan untuk check out lebih awal.  Saya berharap ada perhatian khusus untuk masalah AC di hotel ini. Hotel ini memiliki desain interior yang sangat mewah. Tak hanya itu, staff hotel Bumi juga sangat ramah dan helpful. Fasilitas yang ditawarkan hotel ini pun juga sangat lengkap mulai dari Gym, Kolam renang, Jogging track dan lapangan tennis. Sayang sekali apabila hotel semewah dan semegah ini harus dihadapkan dengan masalah AC yang bisa membuat kesan tamu menjadi kurang menyenangkan."
